episode,collision_0,collision_1,collision_2,collision_3,collision_4,collision_5,collision_6,collision_7,collision_8,collision_9,collision_10,collision_11,collision_12,reward_0,reward_1,reward_2,reward_3,reward_4,reward_5,reward_6,reward_7,reward_8,reward_9,reward_10,reward_11,reward_12,loss_0,loss_1,loss_2,loss_3,loss_4,loss_5,loss_6,loss_7,loss_8,loss_9,loss_10,loss_11,loss_12
27,4,0,0,0,0,0,0,0,0,4,0,0,0,-20,-40,-31.105237445693945,-40,-40,-13.239283794529094,-40,-20,0,-20,-20,-40,-40,-0.30013788,0.06190012,0.09247757,0.19514091,0.07166375,-0.011101399,-0.11469188,-0.14758569,0.008523602,0.1738951,0.26699975,-0.19257714,0.07114729
28,3,3,0,0,0,2,0,0,3,0,0,0,1,-20,-20,-5.840676246397813,-40,-40,-20,-20,0,-2.0714134313517896,-20,-20,-40,-40,-0.080092095,-0.13598506,0.10504834,0.11625742,-0.14727333,0.14747019,0.22806875,0.0003032875,-0.043745507,0.24419506,0.1583205,-0.02541079,0.114966564
29,0,0,1,1,0,0,0,0,0,0,0,0,0,-23.398951706076836,-10.522944837789645,-40,-34.714707328295674,-40,-20,-20,-20,-21.726075164112675,-26.893769040575275,-32.336375782996924,-40,-20,-0.18084435,-0.10359215,-0.04846261,-0.0019750649,-0.075461194,0.099732876,-0.011403475,-0.024655731,0.09777936,-0.22059207,0.24634771,0.122300796,-0.0053361915
30,11,0,0,0,1,2,0,0,0,0,0,0,8,-22.319892177831886,-40,-40,-31.311712934014004,-40,-15.748620828118852,-20,-20,-2.4180073922102974,-20,-2.5653324462872518,-40,-20,-0.15549387,-0.13747267,-0.09022035,-0.0006354672,-0.22665401,-0.16267347,0.11186399,0.2991923,0.11150105,-0.08770216,-0.06377609,0.02857564,0.21859811
31,0,2,1,0,2,0,0,0,0,0,0,0,1,-38.8680027031161,-20,-7.503464684334309,-40,-32.062210717314244,-3.408457052246032,-23.983449334776417,-27.447923209407314,-20,-26.283500500947213,-30.395921708563534,-40,-20,0.022273693,0.13976854,0.013791705,0.062726304,-0.14074135,-0.023134697,-0.01647109,0.22389834,0.012397991,0.16643697,0.04194031,0.18190274,0.052535675
32,0,0,0,0,0,0,0,0,0,0,0,0,0,-28.5092726498456,-11.959300252938288,-2.6743252975419214,-40,-40,-40,-24.476388291863433,-40,-8.692046939043514,-20,-29.46142776312212,-30.847771455549797,-24.714048538836124,0.01791169,0.087971404,-0.10761742,-0.1654486,-0.018142633,-0.03207915,-0.07817434,0.020403221,0.17311166,0.28703883,0.060771216,-0.14630854,0.024961881
33,4,0,1,0,0,2,0,0,0,0,0,1,2,-40,-20,-20,-40,-40,-20,-28.646087368547576,-40,-11.90947558586167,0,-33.557975586010954,-23.67616090324595,-40,-0.04953349,0.048626337,0.17419964,-0.11347229,0.074792825,0.11165071,-0.18192348,-0.087784916,-0.07835818,0.03300799,0.05176718,0.020196352,-0.1752912
34,2,13,1,0,0,0,0,3,8,0,2,0,3,-22.650085709901187,-6.5276836132662215,-25.332836243969673,-40,-22.388132686001125,-40,-28.412430915626636,-20,0,-31.616285124748977,-40,-40,-40,-0.069920376,0.0074006487,-0.07820561,-0.0526558,0.0053077135,0.11153551,0.1818607,0.16518395,-0.13408193,-0.026444321,0.018583022,0.032329407,-0.077402756
35,0,3,1,0,0,0,0,0,0,0,1,2,1,-31.503495429373764,-20,-40,-40,-40,-20,-40,-20,-14.16159370289143,-20,-17.33652616197822,-40,-20,-0.12918316,0.02620262,0.12992646,-0.07503307,-0.010486527,0.23606718,-0.029668236,0.103905715,-0.2763999,-0.08622892,-0.14211325,0.019885244,-0.14369982
36,0,2,3,0,0,2,0,0,0,0,2,0,1,-5.598637755029738,-40,-22.277515619145078,-40,-27.69481697744261,-40,-40,-20,-25.173780649965373,-20,-20.145848465313104,-21.367870941835797,-23.83909998194083,0.102192126,0.18003483,0.07809854,0.14103357,-0.11460371,-0.029535986,-0.08567377,0.11987734,0.045521546,0.013747039,0.09569454,-0.042464286,-0.008551555
